word,language
مسموع,Persian
دسترسی,Persian
واقعاً,Persian
عمان,Persian
نوازندهٔ,Persian
ایران,Persian
اییوکی,Persian
سیاسی,Persian
کبیسه‌گیری,Persian
استاد,Persian
صیادان,Persian
همان‌طور,Persian
بچینند,Persian
کتاب,Persian
کتاب‌های,Persian
گرایانه‌است,Persian
ترکمنستان,Persian
مراجع,Persian
بسیاری,Persian
اوزه,Persian
مقاطع,Persian
مینکا,Persian
برای,Persian
تعصب,Persian
انرژی,Persian
دمشق,Persian
شخصیت,Persian
جهان,Persian
قانون,Persian
نکرد,Persian
قبول,Persian
مجسمه,Persian
سعودی,Persian
پامیری‌ها,Persian
دارد,Persian
کردند,Persian
انگیزه,Persian
نیروهای,Persian
هرچند,Persian
جنوبی,Persian
صورت,Persian
باشد,Persian
آذربایجان,Persian
نهاده,Persian
سازمان,Persian
ظهور,Persian
ارمنستان,Persian
قدیم,Persian
به‌شمار,Persian
خزندگان,Persian
ایرانی,Persian
کارشناسان,Persian
می‌شود,Persian
سریال,Persian
فاصله,Persian
آثار,Persian
گفته,Persian
خورشیدی,Persian
می‌داند,Persian
کرمانشاه,Persian
دورهٔ,Persian
التقاسیم,Persian
فلامنکو,Persian
می‌شود,Persian
درختان,Persian
مقدس,Persian
حلقه,Persian
متحد,Persian
یافتن,Persian
کرمانشاه,Persian
سنگ‌ها,Persian
دلیل,Persian
دی‌اکسید,Persian
داستان,Persian
می‌شود,Persian
ویرجینیا,Persian
رشته,Persian
بودند,Persian
زرافشان,Persian
لباس,Persian
حضرت,Persian
استفاده,Persian
هستند,Persian
داشته,Persian
اهالی,Persian
اعضای,Persian
مسابقه,Persian
خوددار,Persian
معتقدند,Persian
تذکر,Persian
دادند,Persian
بوده‌است,Persian
وسطا,Persian
می‌سازند,Persian
دادند,Persian
می‌شود,Persian
ارتفاع,Persian
سرانجام,Persian
اخلمد,Persian
چونین,Persian
زمان,Persian
ماه‌های,Persian
کرمانشاه,Persian
اوایل,Persian
پوستهٔ,Persian
تخصصی,Persian
دقیقه,Persian
خواهد,Persian
قانون,Persian
کرمانشاه,Persian
محله,Persian
انجام,Persian
می‌توان,Persian
هزار,Persian
تقسیمات,Persian
ندارد,Persian
قدمت,Persian
بریتانیا,Persian
نباید,Persian
بشار,Persian
پاکو,Persian
ساوت‌همپتون,Persian
کرده,Persian
معتبر,Persian
شمار,Persian
نتیجه,Persian
برای,Persian
بالای,Persian
ایجاد,Persian
